time,open,high,low,close
1734904800,1.0425,1.04452,1.03844,1.0403
1734991200,1.04051,1.04099,1.03838,1.0401
1735077600,1.0395,1.0412,1.0395,1.0401
1735164000,1.0403,1.04301,1.03907,1.0422
1735250400,1.04184,1.04441,1.04053,1.04239
1735509600,1.04302,1.04584,1.03719,1.0404
1735596000,1.0407,1.04244,1.03441,1.03522
1735682400,1.0358,1.0359,1.0352,1.0352
1735768800,1.03544,1.03756,1.02244,1.02619
1735855200,1.0264,1.031,1.02554,1.03066
1736114400,1.0308,1.04368,1.02957,1.03887
1736200800,1.03897,1.04344,1.03405,1.03405
1736287200,1.03391,1.03575,1.02734,1.03173
1736373600,1.0317,1.03215,1.02838,1.02994
1736460000,1.02999,1.03119,1.0213,1.0244
1736719200,1.0237,1.025,1.01775,1.02427
1736805600,1.0243,1.03086,1.02387,1.03046
1736892000,1.03073,1.03544,1.02584,1.0288
1736978400,1.02858,1.03151,1.02609,1.02996
1737064800,1.02982,1.03306,1.02653,1.0271
1737324000,1.02831,1.04342,1.02666,1.04155
1737410400,1.04156,1.04343,1.03527,1.03814
